indicator,indicator_family,required
Installed capacity|Electricity|Coal|Steam turbines,installed_capacity_supply,False
Generation|Yearly|Electricity|Coal|Steam turbines,yearly_generation_supply,False
Fuel consumption|Electricity|Coal|Boilers,fuel_consumption_supply,False
Emissions|Kyoto gases|Fossil CO2|Electricity|Coal|Boilers,emission_supply,False
Efficiency|Electricity|Coal|Steam turbines,efficiency_supply,False
Investments|Electricity|Coal|Steam turbine based plants,investment_supply,False
Generation|Winter peak|Electricity|Coal|Steam turbines,winter_peak_hourly_generation,False
Hourly prices|Electricity|Undefined,prc_elec,True
Hourly power consumption|Winter peak|Electricity|Heating|Space heating,winter_peak_hourly_consumption,False
Hourly power consumption|Summer peak|Electricity|Heating|Space heating,summer_peak_hourly_consumption,False
Generation|Summer peak|Electricity|Coal|Steam turbines,summer_peak_hourly_generation,False
Hourly power consumption|Percentile 25|Electricity|Heating|Space heating,percentile25_hourly_consumption,False
Generation|Percentile 25|Electricity|Coal|Steam turbines,Percentile25_hourly_generation,False
Hourly power consumption|Percentile 50|Electricity|Heating|Space heating,percentile50_hourly_consumption,False
Generation|Percentile 50|Electricity|Coal|Steam turbines,Percentile50_hourly_generation,False
Final energy consumption|Heating|Space heating|Residential|Coal,fuel_eff_emi_heating,False
Final energy consumption|Heavy industries|Steel and metallic|Heating|Low enthalpy heat|Coal,fuel_eff_emi_heavy_ind,False
Final energy consumption|Light Industries|Coal,fuel_eff_emi_light_ind,True
Final energy consumption|Agriculture|Coal,fuel_eff_emi_agr,True
Final energy consumption|Transportation|Road|Passenger|Liquids|Fossil|PC0,fuel_eff_emi_road,True
Final energy consumption|Transportation|Rail|Passenger|Liquids|Fossil,fuel_eff_emi_rail,False
Final energy consumption|Transportation|Navigation|Passenger|Liquids|Fossil,fuel_eff_emi_nav,False
Socio-economic|Economic|GDP,Other_inputs,True
Installed capacity|Electricity|Coal|Brown Coal|Steam turbines,installed_capacity_supply,False
Generation|Yearly|Electricity|Coal|Brown Coal|Steam turbines,yearly_generation_supply,False
Fuel consumption|Electricity|Coal|Brown Coal|Boilers,fuel_consumption_supply,False
Emissions|Kyoto gases|Fossil CO2|Electricity|Coal|Brown Coal|Boilers,emission_supply,False
Efficiency|Electricity|Coal|Brown Coal|Steam turbines,efficiency_supply,False
Investments|Electricity|Coal|Brown Coal|Steam turbine based plants,investment_supply,False
Generation|Winter peak|Electricity|Coal|Brown Coal|Steam turbines,winter_peak_hourly_generation,False
Hourly power consumption|Winter peak|Electricity|Heating|Space heating|Residential,winter_peak_hourly_consumption,False
Hourly power consumption|Summer peak|Electricity|Heating|Space heating|Residential,summer_peak_hourly_consumption,False
Generation|Summer peak|Electricity|Coal|Brown Coal|Steam turbines,summer_peak_hourly_generation,False
Hourly power consumption|Percentile 25|Electricity|Heating|Space heating|Residential,percentile25_hourly_consumption,False
Generation|Percentile 25|Electricity|Coal|Brown Coal|Steam turbines,Percentile25_hourly_generation,False
Hourly power consumption|Percentile 50|Electricity|Heating|Space heating|Residential,percentile50_hourly_consumption,False
Generation|Percentile 50|Electricity|Coal|Brown Coal|Steam turbines,Percentile50_hourly_generation,False
Final energy consumption|Heating|Space heating|Residential|Coal|Brown Coal,fuel_eff_emi_heating,False
Final energy consumption|Cooling|Space cooling|Undefined|Residential,elec_eff_cooling,False
Final energy consumption|Heavy industries|Steel and metallic|Heating|Low enthalpy heat|Coal|Brown Coal| ,fuel_eff_emi_heavy_ind,False
Final energy consumption|Light Industries|Coal|Brown Coal,fuel_eff_emi_light_ind,False
Final energy consumption|Agriculture|Coal|Brown Coal,fuel_eff_emi_agr,False
Final energy consumption|Transportation|Road|Passenger|Liquids|Fossil|Diesel|PC0,fuel_eff_emi_road,False
Final energy consumption|Transportation|Rail|Passenger|Liquids|Fossil|Diesel,fuel_eff_emi_rail,False
Final energy consumption|Transportation|Navigation|Passenger|Liquids|Fossil|Diesel,fuel_eff_emi_nav,False
Final energy consumption|Transportation|Aviation|Passenger|Liquids|Fossil,fuel_eff_emi_fly,False
Socio-economic|Economic|GDP_per_capita,Other_inputs,True
Installed capacity|Electricity|Coal|Brown Coal|Sub-bituminous coal|Steam turbines,installed_capacity_supply,False
Generation|Yearly|Electricity|Coal|Brown Coal|Sub-bituminous coal|Steam turbines,yearly_generation_supply,False
Fuel consumption|Electricity|Coal|Brown Coal|Sub-bituminous coal|Boilers,fuel_consumption_supply,False
Emissions|Kyoto gases|Fossil CO2|Electricity|Coal|Brown Coal|Sub-bituminous coal|Boilers,emission_supply,False
Efficiency|Electricity|Coal|Brown Coal|Sub-bituminous coal|Steam turbines,efficiency_supply,False
Investments|Electricity|Coal|Brown Coal|Sub-bituminous coal|Steam turbine based plants,investment_supply,False
Generation|Winter peak|Electricity|Coal|Brown Coal|Sub-bituminous coal|Steam turbines,winter_peak_hourly_generation,False
Hourly prices|Electricity|Summer peak,prc_elec,True
Hourly power consumption|Winter peak|Electricity|Heating|Space heating|Services,winter_peak_hourly_consumption,False
Hourly power consumption|Summer peak|Electricity|Heating|Space heating|Services,summer_peak_hourly_consumption,False
Generation|Summer peak|Electricity|Coal|Brown Coal|Sub-bituminous coal|Steam turbines,summer_peak_hourly_generation,False
Hourly power consumption|Percentile 25|Electricity|Heating|Space heating|Services,percentile25_hourly_consumption,False
Generation|Percentile 25|Electricity|Coal|Brown Coal|Sub-bituminous coal|Steam turbines,Percentile25_hourly_generation,False
Hourly power consumption|Percentile 50|Electricity|Heating|Space heating|Services,percentile50_hourly_consumption,False
Generation|Percentile 50|Electricity|Coal|Brown Coal|Sub-bituminous coal|Steam turbines,Percentile50_hourly_generation,False
Final energy consumption|Heating|Space heating|Residential|Coal|Brown Coal|Sub-bituminous coal,fuel_eff_emi_heating,False
Final energy consumption|Heavy industries|Steel and metallic|Heating|Low enthalpy heat|Coal|Brown Coal|Sub-bituminous coal,fuel_eff_emi_heavy_ind,False
Final energy consumption|Light Industries|Coal|Brown Coal|Sub-bituminous coal,fuel_eff_emi_light_ind,False
Final energy consumption|Agriculture|Coal|Brown Coal|Sub-bituminous coal,fuel_eff_emi_agr,False
Final energy consumption|Transportation|Road|Passenger|Liquids|Fossil|Gasoline|PC0,fuel_eff_emi_road,False
Final energy consumption|Transportation|Rail|Passenger|Liquids|Fossil|Gasoline,fuel_eff_emi_rail,False
Final energy consumption|Transportation|Navigation|Passenger|Liquids|Fossil|Gasoline,fuel_eff_emi_nav,False
Final energy consumption|Transportation|Aviation|Passenger|Liquids|Fossil|Diesel,fuel_eff_emi_fly,False
Installed capacity|Electricity|Coal|Brown Coal|Lignite|Steam turbines,installed_capacity_supply,False
Generation|Yearly|Electricity|Coal|Brown Coal|Lignite|Steam turbines,yearly_generation_supply,False
Fuel consumption|Electricity|Coal|Brown Coal|Lignite|Boilers,fuel_consumption_supply,False
Emissions|Kyoto gases|Fossil CO2|Electricity|Coal|Brown Coal|Lignite|Boilers,emission_supply,False
Efficiency|Electricity|Coal|Brown Coal|Lignite|Steam turbines,efficiency_supply,False
Investments|Electricity|Coal|Brown Coal|Lignite|Steam turbine based plants,investment_supply,False
Generation|Winter peak|Electricity|Coal|Brown Coal|Lignite|Steam turbines,winter_peak_hourly_generation,False
Generation|Summer peak|Electricity|Coal|Brown Coal|Lignite|Steam turbines,summer_peak_hourly_generation,False
Generation|Percentile 25|Electricity|Coal|Brown Coal|Lignite|Steam turbines,Percentile25_hourly_generation,False
Generation|Percentile 50|Electricity|Coal|Brown Coal|Lignite|Steam turbines,Percentile50_hourly_generation,False
Final energy consumption|Heating|Space heating|Residential|Coal|Brown Coal|Lignite,fuel_eff_emi_heating,False
Final energy consumption|Cooling|Space cooling|Direct|Residential,elec_eff_cooling,False
Final energy consumption|Heavy industries|Steel and metallic|Heating|Low enthalpy heat|Coal|Brown Coal|Lignite,fuel_eff_emi_heavy_ind,False
Final energy consumption|Light Industries|Coal|Brown Coal|Lignite,fuel_eff_emi_light_ind,False
Final energy consumption|Agriculture|Coal|Brown Coal|Lignite,fuel_eff_emi_agr,False
Final energy consumption|Transportation|Road|Passenger|Liquids|Fossil|Methanol|PC0,fuel_eff_emi_road,False
Final energy consumption|Transportation|Rail|Passenger|Liquids|Fossil|Methanol,fuel_eff_emi_rail,False
Final energy consumption|Transportation|Navigation|Passenger|Liquids|Fossil|Methanol,fuel_eff_emi_nav,False
Final energy consumption|Transportation|Aviation|Passenger|Liquids|Fossil|Gasoline,fuel_eff_emi_fly,False
